record_id,date,department,employee_id,team,project_code,activity,co2_kg,energy_kwh,source,location,weekday,month,quarter,cost_usd,units_used,distance_km,hours_spent,paper_kg,water_liters,waste_kg,equipment_type,carbon_score,flag_high_emission,client
14,2024-04-09,Operations,E6336,Team 7,P114,Activity 18,2819.97,2974.2,Aviation,Delhi,1,4,2,1936.59,653,1393.4,19.4,25.1,405.4,27.1,Laptop,49.58,1,Client 39
15,2024-03-20,Finance,E8515,Team 3,P825,Activity 20,2248.44,341.1,Heating,Delhi,2,3,1,1253.7,122,1078.9,21.2,18.0,385.9,2.3,Printer,44.23,1,Client 35
16,2024-02-11,Marketing,E9820,Team 4,P639,Activity 16,3300.48,2473.8,Heating,Delhi,6,2,1,4034.72,263,1539.5,2.0,20.2,319.3,69.6,AC,1.81,0,Client 40
17,2024-02-23,Product,E2539,Team 7,P196,Activity 10,3151.01,2327.5,Flights,Tokyo,4,2,1,2498.94,613,1729.6,21.2,35.0,309.6,79.5,Printer,64.18,1,Client 34
18,2024-05-08,Marketing,E8323,Team 3,P861,Activity 15,2814.11,916.9,Aviation,Tokyo,2,5,2,3844.88,586,1713.8,9.1,12.9,118.1,32.7,Car,80.85,0,Client 36
19,2024-03-08,Finance,E6234,Team 9,P884,Activity 2,3652.78,2553.3,Electricity,Berlin,4,3,1,797.58,300,1746.1,7.0,41.2,319.9,58.6,Printer,73.95,1,Client 14
20,2024-04-27,Finance,E9229,Team 4,P802,Activity 8,820.82,1906.7,Aviation,Tokyo,5,4,2,3650.08,24,1819.1,8.5,16.3,489.4,86.5,Server,65.11,0,Client 13
21,2024-05-25,HR,E3957,Team 4,P992,Activity 14,703.72,1408.1,Heating,Paris,5,5,2,658.1,925,371.5,14.5,2.5,532.4,39.7,Printer,0.56,0,Client 42
22,2024-02-19,HR,E3306,Team 3,P323,Activity 11,1521.72,1914.9,Flights,London,0,2,1,542.09,260,210.8,18.7,8.4,24.4,96.0,Printer,88.0,0,Client 10
23,2024-01-05,Operations,E9058,Team 5,P144,Activity 2,2600.16,2795.8,Car,Paris,4,1,1,3832.47,260,13.7,14.1,29.3,29.1,0.3,Server,59.35,0,Client 35
24,2024-02-28,Engineering,E7448,Team 6,P739,Activity 9,2172.37,1906.0,Heating,Sydney,2,2,1,436.66,733,695.9,15.5,20.8,438.6,20.5,Flight,91.01,0,Client 1
25,2024-02-20,Engineering,E5667,Team 1,P817,Activity 13,4781.44,2933.0,Car,New York,1,2,1,3482.96,466,1816.7,20.1,23.7,384.1,48.2,Car,23.44,0,Client 8
26,2024-03-29,HR,E3788,Team 10,P105,Activity 13,2064.6,233.0,Flights,Paris,4,3,1,4767.98,143,1409.6,16.5,16.0,704.0,31.0,Car,68.31,0,Client 12
27,2024-06-02,Product,E2688,Team 3,P160,Activity 1,571.62,798.3,Electricity,London,6,6,2,3180.62,629,1368.2,10.3,43.0,562.0,68.7,Flight,45.61,0,Client 3
28,2024-05-02,Product,E9589,Team 7,P828,Activity 8,1316.52,2560.6,Flights,London,3,5,2,4799.93,981,1131.3,9.9,20.3,380.9,46.9,AC,8.3,0,Client 1
29,2024-02-14,HR,E7211,Team 6,P590,Activity 5,4721.24,2328.3,Flights,Sydney,2,2,1,1502.4,592,1646.3,14.3,10.5,455.7,44.3,Flight,35.81,1,Client 42
30,2024-01-31,Product,E2500,Team 10,P944,Activity 8,1227.34,1198.3,Electricity,Sydney,2,1,1,2531.22,397,1773.4,17.2,42.9,551.9,80.5,Flight,70.81,0,Client 49
31,2024-04-02,HR,E9871,Team 3,P352,Activity 17,841.23,2701.3,Heating,Tokyo,1,4,2,1248.39,476,1740.4,9.6,21.4,654.0,86.4,Printer,25.69,1,Client 30
32,2024-03-31,Marketing,E8927,Team 2,P198,Activity 3,1385.67,1049.2,Gas,New York,6,3,1,3429.01,166,1588.4,4.6,7.2,133.5,19.3,Flight,76.63,0,Client 6
33,2024-06-30,Marketing,E5469,Team 4,P816,Activity 19,4568.8,1437.2,Car,Berlin,6,6,2,3605.41,111,199.4,10.9,35.3,385.3,79.2,Flight,69.84,0,Client 31
34,2024-01-25,Product,E5922,Team 4,P331,Activity 5,2032.02,1959.0,Aviation,Delhi,3,1,1,2781.58,394,635.3,7.8,15.7,535.0,5.0,Laptop,6.89,1,Client 31
35,2024-05-03,Sales,E8336,Team 5,P397,Activity 19,1111.3,1931.2,Electricity,Tokyo,4,5,2,396.76,603,1293.5,7.0,7.8,678.4,67.4,Laptop,61.45,0,Client 35
36,2024-05-06,Product,E1485,Team 1,P545,Activity 19,4953.92,2279.4,Heating,Paris,0,5,2,3432.33,7,218.3,17.9,2.1,251.4,66.2,Printer,4.53,1,Client 15
37,2024-05-26,Product,E9181,Team 1,P348,Activity 15,3944.25,2963.6,Electricity,Paris,6,5,2,4122.24,723,1460.5,5.9,14.7,988.6,0.1,Flight,24.73,0,Client 22
38,2024-04-04,HR,E3713,Team 2,P280,Activity 19,3743.66,2798.8,Aviation,Tokyo,3,4,2,4197.88,940,19.5,12.6,27.7,154.7,11.3,Printer,34.68,0,Client 49
39,2024-04-13,Sales,E3860,Team 6,P247,Activity 8,3536.24,345.2,Aviation,Tokyo,5,4,2,319.67,260,1621.0,19.5,4.2,870.2,99.5,Car,74.29,0,Client 29
40,2024-01-20,Product,E7198,Team 6,P349,Activity 10,1297.6,2928.8,Aviation,Berlin,5,1,1,2803.77,408,765.2,19.3,23.0,300.8,69.9,AC,11.12,0,Client 31
41,2024-06-20,Operations,E4274,Team 8,P756,Activity 1,688.1,2909.0,Heating,Delhi,3,6,2,1467.07,440,1554.1,19.2,38.5,90.4,2.1,Car,3.99,1,Client 34
42,2024-01-13,Finance,E6108,Team 10,P469,Activity 13,1967.85,2068.3,Electricity,Sydney,5,1,1,600.55,508,672.1,15.9,36.3,29.1,70.7,Car,96.08,1,Client 35
43,2024-04-03,Marketing,E3665,Team 8,P654,Activity 8,1342.83,2139.7,Flights,Berlin,2,4,2,1704.1,698,128.2,14.5,6.2,64.5,17.5,Car,71.29,0,Client 26
44,2024-06-22,Finance,E8748,Team 5,P956,Activity 5,270.14,789.1,Aviation,Tokyo,5,6,2,1601.7,654,1988.4,18.1,5.5,48.4,89.3,Printer,55.33,0,Client 48
45,2024-02-21,Marketing,E2866,Team 2,P884,Activity 6,66.69,486.2,Flights,Delhi,2,2,1,4388.5,962,1203.2,13.4,28.8,804.5,90.9,Server,8.36,1,Client 41
46,2024-01-28,Engineering,E4750,Team 9,P528,Activity 20,2947.7,2062.2,Car,Tokyo,6,1,1,669.46,439,149.6,23.2,38.7,691.1,97.1,Server,73.23,0,Client 19
47,2024-06-22,Sales,E7423,Team 8,P727,Activity 14,4150.83,2764.8,Gas,London,5,6,2,4025.17,577,1955.8,18.7,43.7,326.9,70.0,AC,20.31,0,Client 29
48,2024-04-23,Operations,E6495,Team 10,P854,Activity 3,4394.75,2741.6,Aviation,Tokyo,1,4,2,2408.9,432,458.6,23.8,46.4,88.0,2.4,Server,76.44,1,Client 20
49,2024-04-18,Operations,E6208,Team 9,P767,Activity 8,3874.18,1817.1,Electricity,Paris,3,4,2,4493.44,792,738.3,23.2,27.3,752.8,71.2,AC,47.36,0,Client 34
50,2024-04-21,Marketing,E6714,Team 9,P779,Activity 9,3309.98,797.3,Gas,London,6,4,2,480.36,318,316.5,9.1,43.4,395.1,15.1,Laptop,49.05,0,Client 28
51,2024-06-26,Sales,E2534,Team 1,P708,Activity 11,1837.85,1116.1,Car,London,2,6,2,2272.25,371,778.6,5.6,18.3,577.7,32.8,Server,7.95,1,Client 2
52,2024-05-07,Product,E2932,Team 7,P738,Activity 4,2042.7,1476.9,Gas,London,1,5,2,4822.16,914,1754.4,16.0,25.1,396.9,38.0,Printer,48.68,0,Client 12
53,2024-01-30,HR,E1337,Team 8,P521,Activity 17,2262.54,1568.5,Car,Paris,1,1,1,3987.29,154,1057.9,11.8,43.0,863.3,99.9,AC,18.59,1,Client 25
54,2024-03-25,Sales,E1401,Team 4,P512,Activity 17,4479.7,317.4,Electricity,London,0,3,1,4447.9,198,11.0,9.5,37.5,485.7,91.9,Car,55.58,0,Client 7
55,2024-02-26,Sales,E4714,Team 8,P160,Activity 19,3173.54,1943.0,Gas,Sydney,0,2,1,4225.06,322,299.5,15.1,7.5,89.4,39.9,Laptop,86.14,0,Client 46
56,2024-01-31,Sales,E1883,Team 4,P443,Activity 7,539.95,629.3,Flights,Delhi,2,1,1,119.32,605,1199.9,19.2,34.1,500.1,60.3,Laptop,9.85,0,Client 46
57,2024-04-22,Engineering,E6332,Team 4,P606,Activity 15,3214.27,17.9,Aviation,Berlin,0,4,2,4139.35,41,547.1,6.2,45.9,19.0,81.2,Printer,76.63,0,Client 48
58,2024-04-13,Engineering,E9153,Team 3,P699,Activity 10,4761.1,593.4,Car,New York,5,4,2,2818.7,854,1597.7,1.6,7.9,722.7,81.4,AC,73.8,0,Client 13
59,2024-06-22,Sales,E4148,Team 1,P883,Activity 3,1309.9,255.8,Gas,Tokyo,5,6,2,3717.49,914,983.5,13.1,33.5,12.3,29.7,Car,15.1,0,Client 15
60,2024-03-01,Operations,E6025,Team 4,P131,Activity 6,2106.19,2916.5,Flights,Paris,4,3,1,2316.65,945,1593.6,14.1,2.9,448.5,46.7,AC,48.61,1,Client 35
61,2024-01-13,Marketing,E2072,Team 8,P377,Activity 19,1881.5,2559.6,Car,New York,5,1,1,4665.04,894,487.2,3.4,43.5,872.5,99.2,Laptop,77.51,0,Client 2
62,2024-03-24,Engineering,E7792,Team 1,P901,Activity 11,2284.41,2034.9,Car,New York,6,3,1,1058.58,166,615.0,16.1,1.3,139.2,23.6,Server,38.94,1,Client 17
63,2024-05-31,Operations,E7070,Team 6,P400,Activity 11,2168.26,2136.7,Aviation,London,4,5,2,2342.26,87,1643.9,8.0,14.1,673.0,73.4,Printer,71.59,1,Client 20
64,2024-04-02,Engineering,E1261,Team 2,P842,Activity 10,4269.7,958.3,Flights,Paris,1,4,2,1100.56,318,1514.5,16.9,22.6,398.5,23.6,Server,78.09,1,Client 40
65,2024-01-10,Product,E9562,Team 3,P849,Activity 8,2058.94,1847.8,Heating,New York,2,1,1,2565.51,572,1682.5,3.3,0.8,351.0,98.7,Flight,26.37,0,Client 6
66,2024-02-24,Marketing,E7250,Team 4,P722,Activity 17,3692.61,2031.2,Electricity,Berlin,5,2,1,4772.8,584,528.4,16.6,24.5,471.7,13.3,Printer,9.9,1,Client 41
67,2024-03-03,HR,E3029,Team 1,P682,Activity 3,4026.72,1175.7,Heating,Tokyo,6,3,1,1141.49,363,1360.2,21.3,3.7,652.1,88.0,Printer,12.03,1,Client 19
68,2024-05-16,Engineering,E9029,Team 3,P391,Activity 7,1625.0,2009.4,Car,Tokyo,3,5,2,3998.42,667,1127.0,13.0,33.6,796.5,67.3,Printer,50.55,1,Client 33
69,2024-04-20,Product,E8710,Team 2,P496,Activity 4,3688.76,2747.9,Electricity,Paris,5,4,2,4699.18,913,1109.5,3.9,0.8,957.7,67.2,AC,1.09,1,Client 12
70,2024-04-06,Operations,E2208,Team 4,P305,Activity 9,1025.04,2698.4,Aviation,Sydney,5,4,2,3122.38,7,1015.8,15.6,44.6,347.9,18.4,AC,50.51,0,Client 16
71,2024-04-19,Engineering,E8037,Team 6,P931,Activity 15,4246.86,2268.3,Gas,Sydney,4,4,2,2369.47,97,384.8,16.7,24.2,465.0,32.3,Flight,14.18,0,Client 12
72,2024-01-09,Engineering,E7602,Team 7,P548,Activity 19,4117.9,1771.1,Aviation,Paris,1,1,1,772.59,867,1990.5,5.2,20.6,253.7,94.0,Car,45.4,1,Client 45
73,2024-05-09,Engineering,E3629,Team 8,P905,Activity 20,2199.54,2418.6,Aviation,Berlin,3,5,2,513.86,340,894.2,8.3,45.0,983.2,64.7,Flight,7.98,1,Client 19
74,2024-06-08,Operations,E7813,Team 9,P519,Activity 16,4436.48,476.8,Heating,London,5,6,2,282.29,118,1867.5,9.4,45.7,209.0,25.1,Flight,22.93,1,Client 27
75,2024-01-07,Finance,E8564,Team 6,P463,Activity 1,4074.12,618.3,Aviation,Paris,6,1,1,3274.17,753,1988.9,21.0,29.3,388.1,80.8,AC,26.4,1,Client 41
76,2024-04-22,Engineering,E5186,Team 2,P177,Activity 16,2309.56,2272.4,Electricity,Sydney,0,4,2,3614.11,901,1406.8,10.0,0.5,936.8,27.9,Laptop,31.82,0,Client 9
77,2024-06-26,Finance,E7005,Team 2,P317,Activity 1,1150.68,2003.7,Gas,Delhi,2,6,2,4928.81,423,757.3,10.4,45.3,278.4,54.2,Laptop,2.27,1,Client 10
78,2024-06-18,Operations,E8836,Team 9,P385,Activity 18,2457.23,2123.3,Electricity,Paris,1,6,2,1803.19,807,851.6,17.7,1.8,425.3,36.4,Printer,23.42,1,Client 44
79,2024-03-08,Marketing,E3798,Team 1,P398,Activity 3,2255.52,869.4,Gas,London,4,3,1,1843.73,109,1944.8,12.4,9.7,255.0,61.7,Car,85.12,1,Client 6
80,2024-05-15,Operations,E9329,Team 9,P552,Activity 17,2214.41,311.1,Gas,London,2,5,2,3291.29,508,1740.1,11.5,40.3,826.6,88.5,Server,88.76,1,Client 43
81,2024-06-28,Engineering,E7809,Team 3,P902,Activity 7,2826.17,627.2,Car,Delhi,4,6,2,4470.43,16,978.2,18.4,9.3,508.7,85.9,Laptop,38.62,1,Client 28
82,2024-04-22,Marketing,E4209,Team 1,P545,Activity 8,3310.34,1674.6,Car,Paris,0,4,2,481.01,822,824.6,17.8,8.5,380.0,14.4,Car,23.31,0,Client 11
83,2024-06-11,Marketing,E3629,Team 5,P659,Activity 3,3185.9,479.3,Gas,New York,1,6,2,3941.79,86,317.5,1.6,43.7,634.8,24.4,Server,89.19,0,Client 28
84,2024-02-22,Marketing,E4541,Team 5,P841,Activity 18,4935.65,2516.8,Aviation,Delhi,3,2,1,742.38,590,709.4,3.8,36.2,579.0,82.7,Car,18.28,0,Client 37
85,2024-04-24,HR,E9249,Team 1,P279,Activity 17,4612.68,2323.3,Gas,Berlin,2,4,2,2959.64,852,1547.1,11.5,32.5,168.5,46.1,Car,62.1,0,Client 21
86,2024-04-14,Engineering,E7526,Team 10,P198,Activity 9,4658.61,573.6,Car,Berlin,6,4,2,3395.61,548,1535.5,3.7,27.9,129.8,64.7,Printer,62.44,1,Client 19
87,2024-03-12,HR,E4630,Team 7,P365,Activity 17,2943.04,1401.5,Flights,Delhi,1,3,1,2790.83,951,92.8,4.5,36.0,544.2,84.2,AC,26.49,0,Client 35
88,2024-06-30,Product,E6081,Team 1,P819,Activity 2,2638.42,1003.3,Aviation,Paris,6,6,2,4085.41,745,1718.7,7.6,10.3,751.5,12.5,Printer,93.22,1,Client 27
89,2024-02-17,Product,E3675,Team 10,P674,Activity 18,1853.45,305.4,Car,Berlin,5,2,1,3554.55,646,801.2,17.2,43.4,838.7,18.8,Laptop,81.03,1,Client 7
90,2024-03-23,Operations,E8145,Team 1,P252,Activity 15,4040.28,1393.7,Flights,Tokyo,5,3,1,1416.35,452,325.4,1.3,48.3,777.0,11.0,Flight,69.4,1,Client 11
91,2024-04-10,Operations,E1452,Team 6,P492,Activity 16,119.12,2715.4,Car,Paris,2,4,2,1507.82,616,1466.7,5.8,10.2,611.2,75.4,Car,80.77,1,Client 11
92,2024-04-15,Sales,E9492,Team 8,P169,Activity 9,3463.37,1642.7,Flights,London,0,4,2,4179.52,894,1889.2,10.0,40.7,809.5,53.7,Server,6.12,1,Client 25
93,2024-03-14,Operations,E4484,Team 3,P880,Activity 8,2804.18,2344.9,Flights,Berlin,3,3,1,3845.04,256,1974.6,22.2,43.9,787.3,69.5,Laptop,87.85,0,Client 3
94,2024-06-21,Sales,E8838,Team 5,P909,Activity 9,2289.95,2259.5,Gas,London,4,6,2,1237.47,462,266.3,16.3,38.8,289.3,38.3,Car,84.13,0,Client 17
95,2024-02-04,Engineering,E4212,Team 9,P841,Activity 14,136.94,990.0,Electricity,New York,6,2,1,2845.38,980,1247.8,13.1,38.8,119.8,58.8,Car,51.87,1,Client 42
96,2024-04-01,Finance,E9916,Team 8,P920,Activity 3,2829.75,200.3,Flights,Paris,0,4,2,418.89,925,1877.1,14.2,41.4,215.5,80.5,AC,40.89,0,Client 29
97,2024-03-21,Engineering,E7982,Team 8,P186,Activity 17,4691.38,71.0,Flights,Berlin,3,3,1,415.63,686,544.7,19.7,11.5,370.3,65.1,Server,8.46,0,Client 41
98,2024-05-17,Marketing,E1754,Team 9,P942,Activity 19,897.48,2760.1,Aviation,Sydney,4,5,2,2728.14,136,1398.6,14.0,16.9,152.7,58.4,Flight,11.51,1,Client 43
99,2024-06-09,Sales,E5455,Team 6,P576,Activity 4,3437.28,565.2,Flights,Berlin,6,6,2,3385.71,112,76.9,18.1,45.9,105.4,36.9,Flight,3.24,1,Client 10
100,2024-02-18,HR,E6274,Team 8,P769,Activity 13,3656.96,1339.7,Aviation,Berlin,6,2,1,954.13,637,1097.8,14.5,9.4,600.2,80.1,Car,30.58,0,Client 48
101,2024-04-13,Product,E4118,Team 8,P414,Activity 1,159.26,1850.4,Heating,Sydney,5,4,2,1664.96,565,1737.5,5.7,28.3,298.7,0.2,Flight,89.66,0,Client 46
102,2024-03-12,Product,E7627,Team 10,P556,Activity 1,2282.12,312.2,Car,Sydney,1,3,1,2556.98,356,434.0,18.9,41.3,576.9,69.5,Car,44.5,0,Client 17
103,2024-01-17,Product,E4914,Team 6,P462,Activity 12,1839.45,1801.3,Aviation,London,2,1,1,1933.82,321,1120.8,21.6,8.0,156.0,36.7,Printer,6.18,1,Client 12
104,2024-04-12,Product,E7475,Team 9,P465,Activity 5,1682.04,1359.2,Heating,New York,4,4,2,438.06,657,1272.7,22.1,44.1,678.4,51.2,Printer,32.04,0,Client 48
105,2024-05-25,HR,E4305,Team 5,P593,Activity 17,3928.7,2602.7,Aviation,Delhi,5,5,2,322.32,621,242.7,12.9,39.5,735.3,12.4,Car,53.42,1,Client 30
106,2024-05-27,Finance,E9955,Team 2,P894,Activity 10,4419.33,676.0,Car,London,0,5,2,350.74,318,1560.6,22.3,11.0,745.8,81.6,Laptop,71.46,1,Client 40
107,2024-04-26,Sales,E9147,Team 7,P894,Activity 16,4698.71,61.0,Car,Tokyo,4,4,2,1464.92,554,1250.8,21.7,23.6,476.4,78.8,AC,47.5,0,Client 10
108,2024-01-20,Sales,E5941,Team 3,P420,Activity 16,3570.74,881.7,Heating,Delhi,5,1,1,3814.46,309,373.8,15.0,29.0,410.6,47.9,Car,78.52,1,Client 7
109,2024-01-16,Product,E7793,Team 10,P872,Activity 5,1793.39,283.9,Heating,Delhi,1,1,1,1680.09,281,1522.1,7.1,30.0,977.5,57.1,AC,40.42,1,Client 4
110,2024-04-21,Product,E8029,Team 2,P469,Activity 5,4642.59,591.6,Heating,Delhi,6,4,2,2679.46,106,1501.4,12.9,20.6,437.1,46.9,AC,78.83,0,Client 15
111,2024-05-12,Engineering,E2800,Team 4,P265,Activity 10,991.04,1438.2,Flights,Tokyo,6,5,2,2001.26,557,831.8,4.3,37.0,84.9,97.5,AC,14.7,0,Client 31
112,2024-01-31,Product,E9580,Team 9,P966,Activity 17,4870.73,1911.8,Car,Sydney,2,1,1,2265.7,123,424.0,21.9,22.0,130.1,34.9,Printer,61.48,0,Client 11
113,2024-01-29,Finance,E7154,Team 7,P923,Activity 10,2698.54,2604.5,Car,Paris,0,1,1,4430.0,943,1769.0,10.9,33.8,831.5,44.8,Laptop,39.57,1,Client 3
114,2024-01-14,Operations,E8491,Team 3,P116,Activity 19,2822.25,322.6,Car,London,6,1,1,1955.86,280,1119.9,11.6,0.4,157.5,89.0,Flight,10.73,1,Client 47
115,2024-01-26,Marketing,E5435,Team 8,P431,Activity 1,2656.11,45.2,Heating,Tokyo,4,1,1,2192.59,34,1435.4,14.9,40.1,480.5,29.3,AC,22.15,1,Client 36
116,2024-02-11,Sales,E1748,Team 5,P718,Activity 20,4170.19,1422.2,Car,Berlin,6,2,1,2991.15,70,1774.6,5.5,8.3,0.0,5.8,Laptop,87.17,1,Client 18
117,2024-03-10,Engineering,E4414,Team 2,P925,Activity 15,2907.27,506.6,Heating,New York,6,3,1,4261.53,621,456.0,22.0,43.4,245.1,21.5,AC,2.41,0,Client 50
118,2024-04-26,HR,E2611,Team 8,P185,Activity 9,1551.61,1685.7,Gas,Sydney,4,4,2,4424.3,1000,1617.9,23.3,15.0,23.3,20.8,Flight,68.7,0,Client 12
119,2024-04-26,Product,E3637,Team 10,P875,Activity 18,1535.91,557.4,Car,Paris,4,4,2,3646.32,528,805.1,23.7,27.5,111.3,2.1,AC,81.79,1,Client 20
120,2024-04-08,Product,E2006,Team 9,P906,Activity 15,3525.79,1193.6,Gas,Sydney,0,4,2,1408.14,2,694.9,18.7,34.9,806.4,9.0,Flight,68.47,1,Client 16
121,2024-01-05,Product,E8903,Team 7,P281,Activity 2,3255.65,1572.6,Electricity,New York,4,1,1,2174.35,868,1392.3,19.3,22.7,901.2,9.3,Laptop,60.14,1,Client 32
122,2024-06-23,HR,E6390,Team 6,P456,Activity 2,209.26,2825.0,Flights,Berlin,6,6,2,1742.88,952,920.9,18.3,8.6,168.4,93.2,Flight,1.16,1,Client 15
123,2024-03-20,Finance,E4430,Team 6,P827,Activity 19,3455.19,2174.3,Car,Paris,2,3,1,1300.18,453,1747.1,16.6,12.4,830.4,38.8,Flight,60.98,0,Client 35
124,2024-06-29,Sales,E6815,Team 3,P191,Activity 20,3334.74,1295.3,Car,Sydney,5,6,2,585.86,278,343.3,22.3,19.8,304.3,10.1,Server,70.67,1,Client 42
125,2024-05-21,Product,E4631,Team 8,P793,Activity 9,230.74,2349.7,Car,New York,1,5,2,1231.66,854,1689.6,21.1,21.4,476.9,3.6,AC,46.6,0,Client 39
126,2024-05-20,Finance,E4241,Team 8,P501,Activity 16,1622.56,2435.0,Car,Delhi,0,5,2,1041.62,232,306.8,8.5,45.6,205.4,87.0,Flight,37.35,1,Client 22
127,2024-03-10,Finance,E1690,Team 6,P153,Activity 19,2591.52,885.1,Flights,New York,6,3,1,2097.14,198,475.0,3.6,21.8,660.2,22.7,Printer,33.63,0,Client 38
128,2024-07-01,Finance,E6194,Team 6,P498,Activity 15,2923.83,216.3,Aviation,New York,0,7,3,1023.38,978,1544.2,20.1,2.7,545.0,68.4,Printer,56.84,0,Client 46
129,2024-02-16,Product,E4668,Team 9,P143,Activity 6,701.42,761.1,Electricity,Sydney,4,2,1,1379.97,617,1620.3,9.1,39.4,590.4,31.1,Laptop,55.49,0,Client 31
130,2024-02-11,Marketing,E3748,Team 4,P956,Activity 8,3199.69,412.0,Aviation,New York,6,2,1,4962.11,530,1171.8,12.5,40.4,968.7,11.3,Server,47.91,1,Client 41
131,2024-04-26,Sales,E4314,Team 3,P919,Activity 9,1677.43,25.0,Car,Berlin,4,4,2,3217.66,652,1040.2,4.6,32.0,321.0,10.7,Flight,93.5,1,Client 31
132,2024-05-10,Engineering,E3246,Team 1,P553,Activity 1,643.04,1737.5,Heating,Tokyo,4,5,2,1276.47,948,1036.3,11.2,14.5,813.6,48.2,Server,16.18,1,Client 45
133,2024-02-12,Product,E3493,Team 6,P868,Activity 8,479.98,2684.7,Flights,Delhi,0,2,1,2646.0,359,1674.3,18.3,16.2,607.8,52.2,Laptop,41.34,1,Client 4
134,2024-01-17,HR,E9637,Team 1,P329,Activity 19,2464.57,2760.1,Electricity,Berlin,2,1,1,3315.89,364,1429.1,13.0,40.7,560.5,13.8,AC,51.72,1,Client 45
135,2024-04-21,HR,E4025,Team 5,P765,Activity 3,867.11,1262.1,Heating,New York,6,4,2,935.34,315,483.8,9.2,49.0,834.4,94.0,AC,34.43,0,Client 48
136,2024-01-31,Sales,E4274,Team 5,P882,Activity 18,1825.58,62.0,Heating,Sydney,2,1,1,2088.61,814,514.5,12.5,8.4,906.6,2.8,Laptop,60.43,0,Client 31
137,2024-03-16,HR,E2316,Team 6,P661,Activity 18,2270.45,930.6,Car,Delhi,5,3,1,905.75,412,784.6,3.1,28.9,154.0,72.3,Car,72.32,0,Client 46
138,2024-06-07,HR,E4192,Team 4,P574,Activity 13,1247.25,959.2,Car,Sydney,4,6,2,4450.84,650,557.8,15.7,39.2,432.3,83.8,Flight,29.23,0,Client 23
139,2024-06-16,Product,E9638,Team 6,P539,Activity 15,4242.7,2988.7,Car,Berlin,6,6,2,3931.62,481,1710.3,23.9,36.9,596.9,25.2,Car,67.86,1,Client 22
140,2024-03-09,Sales,E2190,Team 8,P292,Activity 18,4517.41,2251.6,Electricity,Tokyo,5,3,1,1629.92,239,42.8,15.1,42.7,513.4,82.7,Server,91.29,0,Client 23
141,2024-03-26,Product,E4584,Team 10,P794,Activity 20,2768.66,1619.0,Electricity,Delhi,1,3,1,1197.48,975,1203.0,21.5,24.8,522.1,9.5,Laptop,66.73,0,Client 45
142,2024-03-04,Sales,E6788,Team 2,P611,Activity 9,4972.2,1919.0,Electricity,Berlin,0,3,1,411.27,54,1575.2,20.5,49.2,853.9,60.2,Server,61.7,0,Client 46
